Longitude,Latitude,FID,ObjectID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG
92.7583293522,11.6675639927,1966,1981,Port Blair,IND-AAN,Andaman and Nicobar Islands,IN,India,Provincial capital,112050,5,"100,000 to 249,999",49720,0
15.9640023901,45.8070030435,1967,1484,Zagreb,HRV,Croatia,HR,Croatia,National capital,698966,3,"500,000 to 999,999",0,0
99.9039963264,19.1590019567,1968,1982,Phayao,THA-PHA,Phayao,TH,Thailand,Provincial capital,21058,7,"Less than 50,000",0,1
13.3275693579,52.5162689234,1969,1485,Berlin,DEU-BER,Berlin,GM,Germany,National and provincial capital,3426354,2,"1,000,000 to 4,999,999",0,1
12.9200042875,52.3950029945,1970,1486,Potsdam,DEU-BRN,Brandenburg,GM,Germany,Provincial capital,145292,5,"100,000 to 249,999",0,0
99.0000003024,18.786996015,1971,1983,Chiang Mai,THA-CMA,Chiang Mai,TH,Thailand,Provincial capital,200952,5,"100,000 to 249,999",0,1
11.6090013696,52.1299979593,1972,1487,Magdeburg,DEU-SCA,Sachsen-Anhalt,GM,Germany,Provincial capital,229826,5,"100,000 to 249,999",0,0
100.7849974031,18.7759979711,1973,1984,Nan,THA-NAN,Nan,TH,Thailand,Provincial capital,24670,7,"Less than 50,000",0,1
99.0739983064,18.5030010681,1974,1985,Lamphun,THA-LMP,Lamphun,TH,Thailand,Provincial capital,-999,7,"Less than 50,000",0,1
12.3980764391,51.3493289632,1975,1488,Leipzig,DEU-SCH,Sachsen,GM,Germany,Other,504971,3,"500,000 to 999,999",0,0
99.4840024404,18.2919959986,1976,1986,Lampang,THA-LMN,Lampang,TH,Thailand,Provincial capital,156139,5,"100,000 to 249,999",0,1
100.1629984418,18.1500030759,1977,1987,Phrae,THA-PHR,Phrae,TH,Thailand,Provincial capital,38538,7,"Less than 50,000",0,1
13.7050023361,51.0460020497,1978,1489,Dresden,DEU-SCH,Sachsen,GM,Germany,Provincial capital,486854,4,"250,000 to 499,999",0,0
100.103004327,17.6229990163,1979,1988,Uttaradit,THA-UTT,Uttaradit,TH,Thailand,Provincial capital,58313,6,"50,000 to 99,999",0,1
11.4166984358,53.6333039765,1980,1490,Schwerin,DEU-MKV,Mecklenburg-Vorpommern,GM,Germany,Provincial capital,96641,6,"50,000 to 99,999",0,0
99.7499973988,17.0129969584,1981,1989,Sukhothai,THA-SKH,Sukhothai,TH,Thailand,Provincial capital,-999,7,"Less than 50,000",0,1
99.1199973026,16.8779970442,1982,1990,Tak,THA-TAK,Tak,TH,Thailand,Provincial capital,24149,7,"Less than 50,000",0,1
12.3166983604,55.9332989663,1983,1491,Hillerod,DNK-FRD,Frederiksborg,DA,Denmark,Provincial capital,28313,7,"Less than 50,000",0,0
12.1167004365,55.6499970649,1984,1492,Roskilde,DNK-RSK,Roskilde,DA,Denmark,Provincial capital,44285,7,"Less than 50,000",29430,1
101.1590013944,16.4189970049,1985,1991,Phetchabun,THA-PHH,Phetchabun,TH,Thailand,Provincial capital,50656,6,"50,000 to 99,999",0,1
100.0260003124,15.3790020418,1986,1992,Uthai Thani,THA-UTH,Uthai Thani,TH,Thailand,Provincial capital,22219,7,"Less than 50,000",0,1
13.023000324,55.5959969337,1987,1493,Malmo,SWE-MLM,Malmohus,SW,Sweden,Provincial capital,261548,4,"250,000 to 499,999",24210,0
100.1259994399,15.1790039525,1988,1993,Chainat,THA-CNA,Chai Nat,TH,Thailand,Provincial capital,15469,7,"Less than 50,000",0,0
11.5667014296,55.4329980118,1989,1494,Soro,DNK-VST,Vestsjalland,DA,Denmark,Provincial capital,7167,7,"Less than 50,000",0,0
100.4010033287,14.8869989345,1990,1994,Sing Buri,THA-SBU,Sing Buri,TH,Thailand,Provincial capital,20046,7,"Less than 50,000",0,1
11.8719994189,54.7730010238,1991,1495,Nykobing,DNK-STR,Storstrom,DA,Denmark,Provincial capital,5596,7,"Less than 50,000",29630,0
12.5499963955,55.7199989694,1992,1496,Copenhagen,DNK-SKB,Staden Kobenhavn,DA,Denmark,National capital and provincial capital enclave,1153615,2,"1,000,000 to 4,999,999",29230,0
14.7167014138,55.1167019785,1993,1497,Ronne,DNK-BRN,Bornholm,DA,Denmark,Provincial capital,13890,7,"Less than 50,000",29110,0
100.6190014066,14.7969989916,1994,1995,Thahanbok Lop Buri,THA-LBU,Lop Buri,TH,Thailand,Provincial capital,-999,7,"Less than 50,000",0,0
15.2960044326,56.2030020825,1995,1498,Karlskrona,SWE-BLK,Blekinge,SW,Sweden,Provincial capital,32309,7,"Less than 50,000",24460,0
100.4499993995,14.5833029924,1996,1996,Ang Thong,THA-ATH,Ang Thong,TH,Thailand,Provincial capital,-999,7,"Less than 50,000",0,1
100.1289963489,14.4710009823,1997,1997,Supham Buri,THA-SBR,Suphan Buri,TH,Thailand,Provincial capital,53399,6,"50,000 to 99,999",0,0
14.1660004251,56.028996015,1998,1499,Kristianstad,SWE-KRS,Kristianstads,SW,Sweden,Provincial capital,32188,7,"Less than 50,000",0,0
100.5609964054,14.3440020375,1999,1998,Phra Nakhon Si Ayutthaya,THA-PNS,Phra Nakhon Si Ayutthaya,TH,Thailand,Provincial capital,81962,6,"50,000 to 99,999",0,1
100.2660034144,16.8129990345,2000,1999,Phitsanulok,THA-PHT,Phitsanulok,TH,Thailand,Provincial capital,103427,5,"100,000 to 249,999",0,1
99.5290024118,16.4729969706,2001,2000,Kamphaeng Phet,THA-KPH,Kamphaeng Phet,TH,Thailand,Provincial capital,58787,6,"50,000 to 99,999",0,1
12.1899962933,-5.5569959448,2002,2324,Cabinda,AGO-CBN,Cabinda,AO,Angola,Provincial capital,66020,6,"50,000 to 99,999",46490,1
100.3490014127,16.4390039792,2003,2001,Phichit,THA-PHC,Phichit,TH,Thailand,Provincial capital,35760,7,"Less than 50,000",0,1
15.7833003573,-17.0499959232,2004,2325,Onjiva,AGO-CUN,Cunene,AO,Angola,Provincial capital,10169,7,"Less than 50,000",0,0
24.8300014084,-28.6599959928,2005,2432,Kimberley,ZAF-NCP,Northern Cape,SF,South Africa,Provincial capital,142089,5,"100,000 to 249,999",0,0
105.4379974252,10.3820040218,2006,2108,Long Xuyen,VNM-AGI,An Giang,VM,Vietnam,Provincial capital,158153,5,"100,000 to 249,999",0,0
92.8333353171,56.0166659931,2007,2216,Krasnoyarsk,RUS-KRA,Krasnoyarskiy kray,RS,Russia,Provincial capital,927200,3,"500,000 to 999,999",0,0
100.1340004093,15.7010039517,2008,2002,Nakhon Sawan,THA-NSA,Nakhon Sawan,TH,Thailand,Provincial capital,-999,7,"Less than 50,000",0,1
28.0559974463,-28.8780030068,2009,2433,Hlotse,LSO-LER,Leribe,LT,Lesotho,Provincial capital,47675,7,"Less than 50,000",0,0
13.4060043097,-12.5769959522,2010,2326,Benguela,AGO-BNG,Benguela,AO,Angola,Provincial capital,151226,5,"100,000 to 249,999",46600,1
105.084999433,10.0070010056,2011,2109,Rach Gia,VNM-KGI,Kien Giang,VM,Vietnam,Provincial capital,228356,5,"100,000 to 249,999",0,0
106.4130033147,10.5309990546,2012,2110,Tan An,VNM-LAN,Long An,VM,Vietnam,Provincial capital,64801,6,"50,000 to 99,999",0,0
15.7359963569,-12.760002014,2013,2327,Huambo,AGO-HUA,Huambo,AO,Angola,Provincial capital,226145,5,"100,000 to 249,999",0,1
100.9140033337,14.5130040447,2014,2003,Saraburi,THA-SRB,Saraburi,TH,Thailand,Provincial capital,-999,7,"Less than 50,000",0,1
91.4429973817,53.7190020061,2015,2217,Abakan,RUS-KHK,Respublika Khakasiya,RS,Russia,Provincial capital,167289,5,"100,000 to 249,999",0,0
105.6359972994,10.4670000698,2016,2111,Cao Lanh,VNM-DTH,Dong Thap,VM,Vietnam,Provincial capital,-999,7,"Less than 50,000",0,0
13.4919993825,-14.9190029405,2017,2328,Lubango,AGO-HUI,Huila,AO,Angola,Provincial capital,102541,5,"100,000 to 249,999",0,0
101.2159984347,14.2000019636,2018,2004,Nakhon Nayok,THA-NNA,Nakhon Nayok,TH,Thailand,Provincial capital,21309,7,"Less than 50,000",0,1
26.2250013494,-29.1179970072,2019,2434,Bloemfontein,ZAF-OFS,Free State,SF,South Africa,Provincial capital,463064,4,"250,000 to 499,999",0,0
94.385997332,51.7100040733,2020,2218,Kyzyl,RUS-TUV,Respublika Tyva,RS,Russia,Provincial capital,108240,5,"100,000 to 249,999",0,0
106.3670043184,10.353996078,2021,2112,My Tho,VNM-TGI,Tien Giang,VM,Vietnam,Provincial capital,122310,5,"100,000 to 249,999",0,0
12.1500003823,-15.1666649572,2022,2329,Namibe,AGO-NAM,Namibe,AO,Angola,Provincial capital,80149,6,"50,000 to 99,999",46610,1
100.533303377,14.0166990241,2023,2005,Pathum Thani,THA-PTH,Pathum Thani,TH,Thailand,Provincial capital,-999,7,"Less than 50,000",0,1
27.7530033204,-29.1529979595,2024,2435,Teyateyaneng,LSO-BER,Berea,LT,Lesotho,Provincial capital,5115,7,"Less than 50,000",0,0
105.9640022945,10.2560039364,2025,2113,Vinh Long,VNM-VLN,Vinh Long,VM,Vietnam,Provincial capital,103314,5,"100,000 to 249,999",0,1
16.1460003254,-20.1079980804,2026,2330,Outjo,NAM-OUT,Outjo,WA,Namibia,Provincial capital,6557,7,"Less than 50,000",0,1
100.5198573332,13.8480390717,2027,2006,Nonthaburi,THA-NNT,Nonthaburi,TH,Thailand,Provincial capital,-999,7,"Less than 50,000",0,1
92.0690013784,49.9840020626,2028,2219,Ulaangom,MNG-UVS,Uvs,MG,Mongolia,Provincial capital,28085,7,"Less than 50,000",0,0
